4	24141	1884	P	\N
5	24159	2188	P	\N
6	24158	2072	P	\N
7	24157	832	P	\N
9	430	298	P	\N
10	433	498	P	\N
11	24440	969	P	\N
13	23320	2108	P	\N
14	23321	2110	P	\N
15	486	24	P	\N
17	24030	989	P	\N
18	24077	196	P	\N
19	24189	614	P	\N
20	24649	1186	P	\N
22	598	939	P	\N
23	600	761	P	\N
26	24115	2183	P	\N
28	24029	802	P	\N
29	659	221	P	\N
30	663	333	P	\N
32	22962	1112	P	\N
34	24125	653	P	\N
35	23974	568	P	\N
36	746	754	P	\N
37	769	1658	P	\N
38	770	139	P	\N
40	23220	444	P	\N
46	810	495	P	\N
47	24738	22	P	\N
48	826	123	P	\N
49	833	760	P	\N
56	884	139	P	\N
58	24429	629	P	\N
60	24177	1106	P	\N
62	24124	653	P	\N
66	24653	917	P	\N
67	24130	1356	P	\N
68	962	414	P	\N
69	964	739	P	\N
70	970	760	P	\N
71	984	495	P	\N
72	24128	1222	P	\N
74	1002	108	P	\N
75	1011	136	P	\N
78	1029	645	P	\N
79	24182	2162	P	\N
80	24183	1133	P	\N
81	24140	1884	P	\N
82	1112	754	P	\N
83	24132	719	P	\N
85	23516	315	P	\N
86	24113	2180	P	\N
89	24188	1133	P	\N
90	1140	739	P	\N
91	1141	104	P	\N
94	1170	136	P	\N
96	24191	2195	P	\N
98	1183	221	P	\N
99	1185	123	P	\N
100	1213	760	P	\N
101	24164	824	P	\N
102	1217	477	P	\N
105	1228	135	P	\N
106	24167	134	P	\N
107	1246	631	P	\N
108	1248	108	P	\N
109	1253	90	P	\N
110	1255	1218	P	\N
114	1274	108	P	\N
115	1277	493	P	\N
116	1283	819	P	\N
123	1361	136	P	\N
124	1364	333	P	\N
125	1374	754	P	\N
127	24181	629	P	\N
128	24173	723	P	\N
129	24150	824	P	\N
131	24175	186	P	\N
134	1573	90	P	\N
138	24152	1908	P	\N
139	24149	906	P	\N
140	24139	593	P	\N
144	1754	1165	P	\N
145	24180	629	P	\N
146	22958	1112	P	\N
147	23576	1112	P	\N
148	22956	1112	P	\N
149	22957	1112	P	\N
150	22960	1112	P	\N
152	1824	136	P	\N
153	1825	136	P	\N
154	1830	136	P	\N
155	1835	254	P	\N
156	1999	1069	P	\N
157	2020	136	P	\N
158	24171	510	P	\N
160	2076	966	P	\N
161	24079	568	P	\N
166	24661	538	P	\N
168	23984	614	P	\N
170	2193	966	P	\N
172	2214	966	P	\N
175	24160	906	P	\N
176	24162	1305	P	\N
177	2378	631	P	\N
178	2409	939	P	\N
179	24186	566	P	\N
182	2552	545	P	\N
186	24184	1133	P	\N
187	2666	414	P	\N
188	24165	824	P	\N
189	2776	136	P	\N
190	2777	136	P	\N
191	2782	136	P	\N
192	24111	108	P	\N
193	2862	631	P	\N
194	2870	631	P	\N
199	3037	806	P	\N
200	3042	509	P	\N
201	3187	769	P	\N
203	24040	117	P	\N
204	23841	906	P	\N
205	24116	2184	P	\N
206	3348	308	P	\N
207	3361	136	P	\N
208	3362	136	P	\N
209	3370	388	P	\N
212	3484	1069	P	\N
213	3599	295	P	\N
214	3621	295	P	\N
216	24190	566	P	\N
217	24123	653	P	\N
218	3798	123	P	\N
223	4053	1098	P	\N
224	4066	1108	P	\N
225	4082	1131	P	\N
230	4118	806	P	\N
231	4119	806	P	\N
232	4120	806	P	\N
233	4121	806	P	\N
235	24163	824	P	\N
236	24655	65	P	\N
237	4401	1357	P	\N
238	4402	1358	P	\N
239	4424	1376	P	\N
240	22661	1928	P	\N
241	22662	1928	P	\N
244	23303	1961	P	\N
245	23306	1106	P	\N
246	23307	939	P	\N
248	23309	669	P	\N
250	23311	191	P	\N
251	23312	352	P	\N
253	24084	2048	P	\N
254	24085	2048	P	\N
255	24083	2048	P	\N
256	23318	26	P	\N
257	23319	26	P	\N
259	24039	117	P	\N
260	24038	117	P	\N
261	23330	117	P	\N
262	23331	299	P	\N
263	23332	299	P	\N
264	23333	879	P	\N
265	23334	589	P	\N
266	23335	2128	P	\N
267	23336	879	P	\N
269	23339	2033	P	\N
271	23341	9	P	\N
272	23342	20	P	\N
273	23629	20	P	\N
275	23344	1384	P	\N
276	23345	1384	P	\N
277	23347	1384	P	\N
278	23348	1384	P	\N
279	23349	1384	P	\N
280	23350	1384	P	\N
281	23351	1384	P	\N
282	23352	93	P	\N
284	23354	631	P	\N
285	23355	631	P	\N
287	23357	1984	P	\N
288	23358	108	P	\N
289	23359	108	P	\N
292	23362	108	P	\N
293	23363	108	P	\N
294	23364	108	P	\N
295	24075	855	P	\N
296	23368	308	P	\N
297	23369	308	P	\N
298	23370	308	P	\N
299	23371	2109	P	\N
300	23372	1135	P	\N
301	23373	1015	P	\N
302	23374	113	P	\N
303	23375	1015	P	\N
304	23376	1015	P	\N
305	23377	590	P	\N
306	23378	590	P	\N
307	23379	590	P	\N
308	23380	590	P	\N
309	23381	1330	P	\N
310	23382	1903	P	\N
311	23384	1906	P	\N
313	23387	89	P	\N
314	23388	1899	P	\N
315	23389	1898	P	\N
316	23390	1901	P	\N
317	23391	1238	P	\N
319	23393	2111	P	\N
320	23394	1235	P	\N
321	23396	1931	P	\N
323	23398	1177	P	\N
324	23399	525	P	\N
326	23401	93	P	\N
327	23402	989	P	\N
328	23403	518	P	\N
329	23404	1250	P	\N
330	24076	196	P	\N
331	23406	989	P	\N
332	23407	989	P	\N
333	23408	989	P	\N
335	23410	989	P	\N
336	23411	989	P	\N
338	23413	989	P	\N
339	23414	989	P	\N
344	23420	2107	P	\N
345	23421	2107	P	\N
346	23422	2107	P	\N
347	23423	2113	P	\N
348	23424	118	P	\N
349	23425	2131	P	\N
350	23426	2131	P	\N
351	23427	84	P	\N
352	24070	84	P	\N
353	24241	1232	P	\N
354	24242	875	P	\N
355	23432	2119	P	\N
356	23433	2119	P	\N
357	23434	949	P	\N
359	23436	691	P	\N
360	23437	2132	P	\N
363	23440	2114	P	\N
364	23441	286	P	\N
365	23442	286	P	\N
366	24136	2112	P	\N
367	23444	1186	P	\N
370	23448	1195	P	\N
374	23453	114	P	\N
375	23454	1228	P	\N
376	23455	186	P	\N
377	23456	186	P	\N
378	23457	186	P	\N
381	23460	882	P	\N
382	23461	2134	P	\N
385	24702	112	P	\N
386	24703	2368	P	\N
388	23466	2135	P	\N
389	23467	2136	P	\N
390	23468	2137	P	\N
391	23469	2138	P	\N
392	23470	867	P	\N
393	23472	446	P	\N
