Aisirimou	Aileu Vila	Aileu	143
Trilolo	Baucau	Baucau	144
Costa	Pante Macasar	Oecussi	145
Mau-Ulo	Ainaro	Ainaro	146
Costa	Pante Macasar	Oecussi	147
Trilolo	Baucau	Baucau	148
Becora	Cristo Rei	Dili	149
Raiheu	Cailaco	Bobonaro	150
Debos	Suai	Covalima	151
Odomau	Maliana	Bobonaro	152
Lahane Oriental	Nain Feto	Dili	153
Comoro	Dom Aleixo	Dili	154
Mau-Ulo	Ainaro	Ainaro	155
Acadiru Hun	Nain Feto	Dili	156
Trilolo	Baucau	Baucau	157
Trilolo	Baucau	Baucau	158
Aiteas	Manatuto	Manatuto	159
Comoro	Dom Aleixo	Dili	160
Comoro	Dom Aleixo	Dili	161
Comoro	Dom Aleixo	Dili	162
Gricenfor	Nain Feto	Dili	163
Comoro	Dom Aleixo	Dili	164
Becora	Cristo Rei	Dili	165
Becora	Cristo Rei	Dili	166
Fatuhada	Dom Aleixo	Dili	167
Colmera	Vera Cruz	Dili	168
Fatuhada	Dom Aleixo	Dili	169
Comoro	Dom Aleixo	Dili	170
Fatuhada	Dom Aleixo	Dili	171
Fatuhada	Dom Aleixo	Dili	172
Vila Verde	Vera Cruz	Dili	173
Motael	Vera Cruz	Dili	174
Colmera	Vera Cruz	Dili	175
Lahane Oriental	Nain Feto	Dili	176
Costa	Pante Macasar	Oecussi	177
Loidahar	Liquica	Liquica	179
Debos	Suai	Covalima	180
Comoro	Dom Aleixo	Dili	181
Lahane Oriental	Nain Feto	Dili	182
Raimea	Zumalai	Covalima	183
Comoro	Dom Aleixo	Dili	184
Caicoli	Vera Cruz	Dili	185
Aiteas	Manatuto	Manatuto	186
Bidau Santana	Cristo Rei	Dili	187
Comoro	Dom Aleixo	Dili	188
Macarenhas	Vera Cruz	Dili	189
Fatuhada	Dom Aleixo	Dili	190
Tocoluli	Railaco	Ermera	191
Comoro	Dom Aleixo	Dili	192
Lahane Oriental	Nain Feto	Dili	193
Colmera	Vera Cruz	Dili	194
Costa	Pante Macasar	Oecussi	195
Mau-Ulo	Ainaro	Ainaro	196
Comoro	Dom Aleixo	Dili	197
Comoro	Dom Aleixo	Dili	198
Motaulun	Bazartete	Liquica	199
Motael	Vera Cruz	Dili	200
Culu Hun	Cristo Rei	Dili	202
Bidau Santana	Cristo Rei	Dili	203
Caicoli	Vera Cruz	Dili	204
Becora	Cristo Rei	Dili	205
Santa Cruz	Nain Feto	Dili	206
Comoro	Dom Aleixo	Dili	207
Caicoli	Vera Cruz	Dili	208
Fuiloro	Lospalos	Lautem	209
Comoro	Dom Aleixo	Dili	210
Loidahar	Liquica	Liquica	211
Costa	Pante Macasar	Oecussi	212
Loidahar	Liquica	Liquica	326
Letefoho	Same	Manufahi	328
Caicoli	Vera Cruz	Dili	213
Costa	Pante Macasar	Oecussi	214
Dare	Vera Cruz	Dili	215
Caicoli	Vera Cruz	Dili	216
Costa	Pante Macasar	Oecussi	217
Motael	Vera Cruz	Dili	218
Costa	Pante Macasar	Oecussi	219
Suai Loro	Suai	Covalima	221
Fuiloro	Lospalos	Lautem	222
Debos	Suai	Covalima	223
Macarenhas	Vera Cruz	Dili	224
Santa Cruz	Nain Feto	Dili	225
