7	2	37
8	4	37
9	4	39
10	4	42
16	9	39
17	9	38
18	9	36
26	12	37
27	12	46
28	13	40
29	13	48
30	13	36
31	13	37
32	13	39
33	19	61
34	21	37
35	6	61
36	6	38
37	7	38
39	27	61
47	35	44
48	35	37
49	35	61
50	36	37
51	37	56
52	7	37
59	42	37
61	44	37
67	46	36
68	46	38
69	46	39
70	47	41
71	47	42
72	47	37
73	48	39
78	55	41
79	55	42
80	55	37
81	55	39
82	58	36
83	58	38
84	58	39
87	61	56
88	61	37
92	63	37
93	64	56
94	65	56
95	66	41
96	66	42
97	66	37
101	68	48
102	68	41
103	70	41
104	70	42
105	70	37
108	72	56
109	72	61
110	74	41
111	74	38
115	76	37
116	77	56
117	77	41
118	77	61
119	78	56
120	78	37
121	78	61
122	79	41
123	80	37
124	81	37
125	82	56
126	82	37
127	82	61
131	84	56
132	84	37
133	84	61
134	85	36
135	85	37
136	86	36
137	86	37
140	88	36
141	88	37
142	88	38
143	89	36
144	89	37
145	89	38
146	89	39
147	89	40
148	89	41
149	89	42
150	89	43
151	90	37
152	91	36
153	91	39
154	92	37
\.


