546	nhdb_projectplace	299	3432	t
550	nhdb_project	303	24751	t
574	nhdb_projectperson	305	1025	t
578	nhdb_organization	306	2492	t
581	nhdb_organization	309	2088	t
585	nhdb_organization	313	2493	t
589	nhdb_organization	317	1227	t
593	nhdb_organization	321	565	t
597	nhdb_organization	325	2494	t
601	nhdb_organization	329	610	t
605	nhdb_organization	333	2015	t
609	nhdb_organization	337	2067	t
613	nhdb_organization	341	805	t
617	nhdb_organization	345	764	t
621	nhdb_organization	347	764	f
625	nhdb_organizationplace	351	1110	t
629	nhdb_organization	355	740	t
638	nhdb_organization	360	740	f
647	nhdb_propertytag	366	17	f
648	nhdb_propertytag	366	22	f
649	nhdb_propertytag	366	37	f
650	nhdb_propertytag	366	7	f
642	nhdb_person	364	5992	t
654	nhdb_projectplace	369	\N	t
658	nhdb_organization	372	1387	t
662	nhdb_organization	376	2139	t
666	nhdb_organization	380	1154	t
674	nhdb_propertytag	352	14	f
675	nhdb_propertytag	352	38	f
676	nhdb_propertytag	352	3	f
677	nhdb_organization	352	966	f
633	nhdb_projectperson	359	1027	t
681	nhdb_person	385	5994	t
686	donormapping_fundingoffer	361	21	f
690	nhdb_organizationplace	390	1107	t
694	nhdb_organization	391	287	f
698	nhdb_person	394	5995	t
702	nhdb_projectperson	396	1029	t
706	nhdb_person	398	4798	t
710	nhdb_organization	401	1070	t
714	nhdb_organization	405	1146	t
718	nhdb_organization	409	1153	t
722	nhdb_organization	413	1286	t
726	nhdb_person	417	5997	t
733	nhdb_projecttype	414	1	f
737	nhdb_organization	421	2073	t
741	nhdb_organization	425	948	t
745	nhdb_organization	429	913	t
749	nhdb_organization	433	2161	t
753	nhdb_organization	436	1140	f
757	nhdb_project	440	24710	t
761	nhdb_project	443	24696	t
765	nhdb_projectorganization	447	\N	t
770	nhdb_project	450	24616	t
774	nhdb_organization	453	1016	t
778	nhdb_organization	457	792	t
782	nhdb_organizationplace	461	278	t
786	nhdb_organization	464	208	t
790	nhdb_organization	467	1169	t
794	nhdb_organization	470	335	t
798	nhdb_organization	474	2112	t
802	nhdb_organization	478	52	t
806	nhdb_organization	482	1228	t
